nom,prenom,id,matiere,note
De Venecia,Madison,9,Anglais 2,2
Dewitt,Amelia,10,Anglais 2,15.5
Eisenberg,Kelly,11,Anglais 2,12.5
Gurule,Elliott,12,Anglais 2,6
Helfer,Ashley,13,Anglais 2,4.5
Israel,Joshua,14,Anglais 2,8
Jacket,Kanae,15,Anglais 2,8.5
Joy,Michael,16,Anglais 2,6
Kinney,Jonah,17,Anglais 2,11.5
Ledbetter,Conor,18,Anglais 2,9
Lehi,Savannah,19,Anglais 2,5.5
Lenard,Alysha,20,Anglais 2,4.5
Lucero,Cole,21,Anglais 2,5
Massey,Taylor,22,Anglais 2,9.5
Medicine Blanket,Robert,23,Anglais 2,5
Mullins,Brenna,24,Anglais 2,15
Pereyra,Emilie,27,Anglais 2,16.5
Riley,Paige,28,Anglais 2,3.5
Rosen,Richard,29,Anglais 2,9.5
Schlaver,Lexa,30,Anglais 2,15.5
Scholer,Julia,31,Anglais 2,12
Slovonsky,Tevin,32,Anglais 2,3
Thiede,Tyler,33,Anglais 2,1.5
Tillman,Tecumseh,34,Anglais 2,5.5
Amsberry,Evan,1,Economie environnementale 2,3.5
Basurto,Anthony,2,Economie environnementale 2,10.5
Begaye,Kai,3,Economie environnementale 2,20
Burgess,Jamie,5,Economie environnementale 2,7.5
De Venecia,Madison,9,Economie environnementale 2,5.5
Helfer,Ashley,13,Economie environnementale 2,11
Jacket,Kanae,15,Economie environnementale 2,6.5
Joy,Michael,16,Economie environnementale 2,6.5
Lucero,Cole,21,Economie environnementale 2,5
Mullins,Brenna,24,Economie environnementale 2,6
Pereyra,Emilie,27,Economie environnementale 2,18
Riley,Paige,28,Economie environnementale 2,8.5
Rosen,Richard,29,Economie environnementale 2,20
Schlaver,Lexa,30,Economie environnementale 2,6.5
Thiede,Tyler,33,Economie environnementale 2,11.5
Tillman,Tecumseh,34,Economie environnementale 2,9.5
Brack,Michael,4,Finance 2,10
Christian,Colton,6,Finance 2,3.5
Coberley,Rebecca,8,Finance 2,13
Dewitt,Amelia,10,Finance 2,4.5
Eisenberg,Kelly,11,Finance 2,10
Gurule,Elliott,12,Finance 2,7.5
Israel,Joshua,14,Finance 2,6.5
Kinney,Jonah,17,Finance 2,4
Ledbetter,Conor,18,Finance 2,10.5
Lehi,Savannah,19,Finance 2,12
Lenard,Alysha,20,Finance 2,2
Massey,Taylor,22,Finance 2,20
Medicine Blanket,Robert,23,Finance 2,13
Scholer,Julia,31,Finance 2,11.5
Slovonsky,Tevin,32,Finance 2,5.5
